Box	Folder	Item	Accession number	Title	Play dates	Year	Written by	Directed by	Company	Notes	Multiplay	Non-Theatrical	Era
13	152	2	dra037-s01-b013-f152-i02-p0017	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0018	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0019	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0020	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0021	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0022	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0023	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0024	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0025	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0026	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0027	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0028	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0001	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0002	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0003	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0004	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0005	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0006	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0007	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0008	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0009	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0010	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0011	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0012	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0013	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0014	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0015	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0016	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0017	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0018	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
13	153	1	dra037-s01-b013-f153-i01-p0019	A Cup of Coffee	Nov 26 - Dec 18	1999	"Sturges, Preston"	"Grifasi, Joe"	Yale Repertory Theatre				stan_wojewodski
