file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f019-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f019-i02-p0001.jpg,1482,2048,1,dra037-s01-b001-f019-i02,1949,"Camus, Albert",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f019-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f019-i03-p0001.jpg,1326,2048,1,dra037-s01-b001-f019-i03,1949,"Villiers, George",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f019-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f019-i04-p0001.jpg,1585,2048,1,dra037-s01-b001-f019-i04,1949,William Shakespeare,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0001.jpg,1388,2048,1,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0002.jpg,2048,1513,2,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0003.jpg,2048,1525,3,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0004.jpg,2048,1525,4,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0005.jpg,2048,1525,5,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0006.jpg,2048,1525,6,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0007.jpg,2048,1525,7,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0008.jpg,2048,1525,8,dra037-s01-b001-f020-i01,1949,"Ormont, Louis R. ",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i02-p0001.jpg,1594,2048,1,dra037-s01-b001-f020-i02,1949,"Chekov, Anton",,"Yale School of Drama, Yale Repertory Theatre"
